doi,cleaned_feature
10.1109/TRO.2017.2664888,simulation discrete time controlled cable driven parallel robot trajectory ieee transaction robotics institute electrical electronics engineer ieee
10.1681/ASN.2014111061,epitope spreading autoantibody response pla r associate poor prognosis membranous nephropathy american society nephrology american society nephrology asn
10.1002/9781119332428.ch17,conclusion perspective brain computer interface wiley
10.1109/CSCI.2016.0090,comparison edge partitioners graph processing international conference computational science computational intelligence csci institute electrical electronics engineer ieee
10.1142/S0218271817300166,binary system associated short long gamma ray burst detectability international modern physic world scientific pub co pte ltd
10.1109/TIP.2016.2627815,nonlinear unmixing hyperspectral data vector valued kernel function ieee transaction image processing institute electrical electronics engineer ieee
10.1109/ACSSC.2016.7869515,doubly compressed diffusion lm adaptive network th asilomar conference signal system computer institute electrical electronics engineer ieee
10.1109/WI.2016.0049,joint model topic expertise activity trend question answering web application ieee wic acm international conference web intelligence wi institute electrical electronics engineer ieee
10.1109/ACSSC.2016.7869604,distributed learning multitask network linearly related task th asilomar conference signal system computer institute electrical electronics engineer ieee
10.1017/S0022377816000684,special issue pellat thesis prize winner plasma physic cambridge university press cup
10.1109/LCN.2016.034,stability consistency lisp pull routing architecture ieee st conference local computer network workshop lcn workshop institute electrical electronics engineer ieee
10.3233/HSM-160876,french company quality assurance performance crisis context human system management io press
10.1108/AAAJ-05-2014-1705,intertextuality corporate narrative discursive analysis contested privatization accounting auditing accountability emerald
10.1109/PICMET.2016.7806666,integrated innovation management model viewpoint fitting customer value based chinese case portland international conference management engineering technology picmet institute electrical electronics engineer ieee
10.1109/LSP.2016.2616890,transient performance analysis zero attracting lm ieee signal processing letter institute electrical electronics engineer ieee
10.1109/WI.2016.0079,wikipedia editing history dbpedia extracting publishing encyclopedia editing activity linked data ieee wic acm international conference web intelligence wi institute electrical electronics engineer ieee
10.1249/MSS.0000000000000823,enhanced endurance performance periodization carbohydrate intake medicine science sport exercise ovid technology wolters kluwer health
10.1103/PhysRevD.93.024018,second einstein telescope mock data science challenge low frequency binary neutron star data analysis physical american physical society aps
10.1103/PhysRevLett.116.010401,quantum nonlocality arbitrary limited detection efficiency physical letter american physical society aps
10.1002/2015GL066818,segmented hellenic slab rollback driving aegean deformation seismicity geophysical research letter wiley
10.3847/0004-6256/151/1/1,chemical evolution inner degree milky way bulge fe trend metallicity gradient astronomical american astronomical society
10.1103/PhysRevB.93.035108,excitation dynamic extended bose hubbard model physical b american physical society aps
10.1103/PhysRevD.93.021101,low frequency gravitational wave detection ground based atom interferometer array physical american physical society aps
10.3233/JAD-150194,exercise plus cognitive performance exercise alone subject mild cognitive impairment alzheimer disease io press
10.1142/S0217751X16410086,introducing quantum effect classical theory international modern physic world scientific pub co pte ltd
10.1103/PhysRevE.93.010201,control generation drifting pattern asymmetrical fourier filtering physical e american physical society aps
10.1007/s12237-015-9999-2,change coastal benthic algae succession trajectory assemblage contrasting nutrient grazer load estuary coast springer science business medium llc
10.1051/0004-6361/201527453,compositional study asteroid erigone collisional family using visible spectroscopy gtc astronomy amp astrophysics edp science
10.1074/jbc.M115.677799,progesterone induced acrosome exocytosis requires sequential involvement calcium independent phospholipase a b ipla b group x secreted phospholipase a spla biological chemistry american society biochemistry molecular biology asbmb
10.1002/2015JF003644,quantified sensitivity small lake sediment record historic earthquake implication paleoseismology geophysical research earth surface wiley
10.1051/0004-6361/201527614,near infrared spectro interferometry mira variable comparison d dynamic model atmosphere d convection simulation astronomy astrophysics edp science
10.1002/2015TC003898,tectonic expression active slab tear high resolution seismic bathymetric data offshore sicily ionian sea tectonics wiley
10.1103/PhysRevLett.116.061102,observation gravitational wave binary black hole merger physical letter american physical society aps
10.1249/MSS.0000000000000800,peripheral central fatigue development repeated cycling sprint medicine science sport exercise ovid technology wolters kluwer health
10.4171/GGD/342,action group homeomorphisms one manifold group geometry dynamic european mathematical society em publishing house gmbh
10.1007/s12237-015-0006-8,erratum change coastal benthic algae succession trajectory assemblage contrasting nutrient grazer load estuary coast springer science business medium llc
10.1016/j.npg.2016.01.001,dit silver economie npg neurologie psychiatrie geriatrie elsevier bv
10.1088/1751-8113/49/3/03LT01,multi symplectic structure serre green naghdi equation physic mathematical theoretical iop publishing
10.1002/dvdy.24345,ligand binding constitutive fgf receptor singledrosophilatracheal cell implication role fgf collective migration developmental dynamic wiley
10.1051/0004-6361/201527573,asteroid model lowell photometric database astronomy astrophysics edp science
10.7554/eLife.09531,area specific development distinct projection neuron subclass regulated postnatal epigenetic modification elife elife science publication ltd
10.1074/jbc.M115.702373,mambalgin pain relieving peptide stepwise solid phase synthesis crystal structure functional domain acid sensing ion channel a inhibition biological chemistry american society biochemistry molecular biology asbmb
10.3847/2041-8205/818/1/L6,imprint radial migration milky way metallicity distribution function astrophysical american astronomical society
10.1158/0008-5472.CAN-15-1465,sigmar regulates membrane electrical activity response extracellular matrix stimulation drive cancer cell invasiveness cancer research american association cancer research aacr
10.1128/JVI.02030-15,pan genotypic hepatitis virus inhibition natural product derived wild egyptian artichoke virology american society microbiology
10.1103/PhysRevLett.116.083601,subradiance large cloud cold atom physical letter american physical society aps
10.1103/PhysRevE.93.033109,intermittency fractal fourier hydrodynamics lesson burger equation physical e american physical society aps
10.3847/0004-637X/818/1/66,influence nonlinearity parameter solar wind sub ion magnetic energy spectrum flr landau fluid simulation astrophysical american astronomical society
10.1161/CIRCRESAHA.115.307599,disruption glut hematopoietic stem cell prevents myelopoiesis enhanced glucose flux atheromatous plaque apoe sup sup mouse circulation research ovid technology wolters kluwer health
10.1103/PhysRevB.93.075141,energy landscape penrose tiling physical b american physical society aps
10.1142/S0218202516500226,analytical numerical investigation traveling wave allen cahn model relaxation mathematical model method applied science world scientific pub co pte ltd
10.1016/S1470-2045(15)00583-5,clinical effect molecular method sarcoma diagnosis gensarc prospective multicentre observational study lancet oncology elsevier bv
10.3847/0004-637X/818/2/204,lofar vla chandra observation toothbrush galaxy cluster astrophysical american astronomical society
10.1093/mnras/stv2548,hydrodynamic simulation interaction agb star main sequence companion eccentric orbit monthly notice royal astronomical society oxford university press oup
10.1103/PhysRevD.93.042007,first low frequency sky search continuous gravitational wave signal physical american physical society aps
10.1017/S1743921315008492,wise data sparse photometry used shape reconstruction asteroid proceeding international astronomical union cambridge university press cup
10.1088/1475-7516/2016/02/024,dark matter velocity dispersion effect cmb matter power spectrum cosmology astroparticle physic iop publishing
10.1142/S0219720016400011,hybrid model cell cycle mammal bioinformatics computational biology world scientific pub co pte ltd
10.1103/PhysRevD.93.042006,search orion spur continuous gravitational wave using loosely coherent algorithm data ligo interferometer physical american physical society aps
10.1103/PhysRevE.93.022201,regular mode mixed dynamic based optical fiber physical e american physical society aps
10.1093/mnras/stv2611,antarctica photometry blazhko rr lyrae star arae monthly notice royal astronomical society oxford university press oup
10.1103/PhysRevE.93.032108,lossy chaotic electromagnetic reverberation chamber universal statistical behavior vectorial field physical e american physical society aps
10.1017/S1743921315009655,multiple origin asteroid pair proceeding international astronomical union cambridge university press cup
10.1103/PhysRevD.93.042005,sky search long duration gravitational wave transient initial ligo physical american physical society aps
10.3847/2041-8205/818/2/L22,astrophysical implication binary black hole merger gw astrophysical american astronomical society
10.1017/S1743921315008698,dealing uncertainty asteroid deflection demonstration mission neotoist proceeding international astronomical union cambridge university press cup
10.7554/eLife.12040,family photoswitchable nmda receptor elife elife science publication ltd
10.1103/PhysRevB.93.115205,polariton condensation phase diagram wide band gap planar microcavities gan versus zno physical b american physical society aps
10.7554/eLife.09373,feedback mechanism convert individual cell feature supracellular ecm structure drosophila trachea elife elife science publication ltd
10.1249/MSS.0000000000000937,mechanical alteration repeated treadmill sprint normobaric hypoxia medicine amp science sport amp exercise ovid technology wolters kluwer health
10.1103/PhysRevLett.116.131103,gw advanced ligo detector era first discovery physical letter american physical society aps
10.1103/PhysRevLett.116.131102,gw implication stochastic gravitational wave background binary black hole physical letter american physical society aps
10.13182/FST15-171,tokamak plasma boundary reconstruction using toroidal harmonic optimal control method fusion science technology american nuclear society
10.1128/MCB.00745-15,srebp c microrna b genomic locus control adipocyte differentiation molecular cellular biology american society microbiology
10.1002/2015JB012465,scale selection columnar jointing insight experiment cooling stearic acid numerical simulation geophysical research solid earth wiley
10.3847/2041-8205/820/2/L24,murchison widefield array limit radio emission antares neutrino event astrophysical american astronomical society
10.1103/PhysRevE.93.031102,abrupt growth large aggregate correlated coalescence turbulent flow physical e american physical society aps
10.1007/978-3-319-24151-7_8,interferometric surface mapping rapidly rotating star application star achernar lecture note physic springer science business medium llc
10.1109/LSP.2016.2518699,closed form semi blind receiver mimo relay system using double khatri rao space time coding ieee signal processing letter institute electrical electronics engineer ieee
10.1002/2015GL066948,wastewater disposal earthquake swarm activity southern end central valley california geophysical research letter wiley
10.3847/0004-637X/820/2/89,muscle treasury survey motivation overview astrophysical american astronomical society
10.1109/TIP.2015.2509258,nonparametric detection nonlinearly mixed pixel endmember estimation hyperspectral image ieee transaction image processing institute electrical electronics engineer ieee
10.1007/978-3-319-30996-5_16,transformation language rdf based sparql web information system technology springer science business medium llc
10.1109/TENCON.2015.7373193,homing moving dock quadrotor vehicle tencon ieee region conference institute electrical electronics engineer ieee
10.3847/2041-8205/819/2/L33,protosolar nebula origin ice agglomerated comet p churyumov gerasimenko astrophysical american astronomical society
10.1109/LAWP.2015.2426510,beam switching conformal antenna array mm wave communication ieee antenna wireless propagation letter institute electrical electronics engineer ieee
10.1109/CLEOPR.2015.7375892,iii nitride quantum dot based light emitting diode uv emission th conference laser electro optic pacific rim cleo pr institute electrical electronics engineer ieee
10.1109/JSTQE.2015.2490100,numerical modeling pump absorption coiled twisted double clad fiber ieee selected topic quantum electronics institute electrical electronics engineer ieee
10.1109/CAMAD.2015.7390496,compact linear embroidered antenna research clear ieee th international workshop computer aided modelling design communication link network camad institute electrical electronics engineer ieee
10.1109/TAP.2016.2517667,ball grid array module integrated shaped lens wigig application eyewear device ieee transaction antenna propagation institute electrical electronics engineer ieee
10.1103/PhysRevE.93.040102,superdiffusion large scale synchronization topological defect physical e american physical society aps
10.1109/ICITST.2015.7412052,novel chaotic generator based weakly coupled discrete skewtent map th international conference internet technology secured transaction icitst institute electrical electronics engineer ieee
10.1103/PhysRevLett.116.133901,dynamic localized structure system broken parity symmetry physical letter american physical society aps
10.1097/BOR.0000000000000293,pelvic fracture epidemiology consequence medical management current opinion rheumatology ovid technology wolters kluwer health
10.1093/mnras/stv2844,survival impactor hypervelocity collision analogue low porosity target monthly notice royal astronomical society oxford university press oup
10.1109/ICIICII.2015.140,better bound bayesian multiple test quadratic loss function international conference industrial informatics computing technology intelligent technology industrial information integration institute electrical electronics engineer ieee
10.23919/oceans.2015.7401934,tuning interpolation method environmental uni dimensional transect survey ocean mt ieee washington institute electrical electronics engineer ieee
10.1109/LAWP.2015.2465842,ghz dual polarized microstrip mesh array antenna ltcc technology ieee antenna wireless propagation letter institute electrical electronics engineer ieee
10.1103/PhysRevE.93.043104,depletion nonlinearity magnetohydrodynamic turbulence insight analysis simulation physical e american physical society aps
10.1017/S0308210515000591,partial theta function spectrum proceeding royal society edinburgh section mathematics cambridge university press cup
10.1364/OPTICA.3.000362,fully guided wave squeezing experiment fiber quantum network optica optical society
10.1103/PhysRevA.93.043826,temporal intensity correlation light scattered hot atomic vapor physical american physical society aps
10.1103/PhysRevE.93.042207,trapping scaling bifurcation vlasov system physical e american physical society aps
10.1109/LED.2016.2542921,first power performance demonstration flexible algan gan high electron mobility transistor ieee electron device letter institute electrical electronics engineer ieee
10.1109/ReConFig.2015.7393336,power measurement analysis dynamic circuit specialization international conference reconfigurable computing fpgas reconfig institute electrical electronics engineer ieee
10.1097/JOM.0000000000000679,big five personality trait french firefighter burnout occupational amp environmental medicine ovid technology wolters kluwer health
10.1172/JCI82337,matricellular protein ccn mitigates abdominal aortic aneurysm clinical investigation american society clinical investigation
10.1109/TUFFC.2015.2497002,allan variance computed space domain definition application insar data characterize noise geophysical signal ieee transaction ultrasonics ferroelectrics frequency control institute electrical electronics engineer ieee
10.1109/JLT.2016.2524583,crystallographic optical property z cut high index soft proton exchange hisope linbo sub sub waveguide lightwave technology institute electrical electronics engineer ieee
10.1103/PhysRevE.93.052605,polymer stretching inertial range turbulence physical e american physical society aps
10.1109/ICSOS.2015.7425087,first result wavefront sensing sota ieee international conference space optical system application icsos institute electrical electronics engineer ieee
10.1038/ncomms11512,predicting quantitative trait genome phenome near perfect accuracy nature communication springer science business medium llc
10.1097/HCR.0000000000000181,physiological response modified shuttle test adult cystic fibrosis cardiopulmonary rehabilitation prevention ovid technology wolters kluwer health
10.1158/0008-5472.CAN-15-2063,frequency dynamic leukemia initiating cell short term ex vivo culture informs outcome acute myeloid leukemia patient cancer research american association cancer research aacr
10.1109/ICMIC.2015.7409360,identification volterra parafac model using partial update lm algorithm th international conference modelling identification control icmic institute electrical electronics engineer ieee
10.1109/ICSOS.2015.7425060,overview international experiment campaign small optical transponder sota ieee international conference space optical system application icsos institute electrical electronics engineer ieee
10.1109/WD.2016.7461494,qoe optimization video streaming strategy wireless network wireless day wd institute electrical electronics engineer ieee
10.7567/JJAP.55.05FG06,investigation alyga yn al ga n quantum dot property design ultraviolet emitter japanese applied physic japan society applied physic
10.1109/LAWP.2015.2505669,reconfigurable antenna future spectrum reallocation g communication ieee antenna wireless propagation letter institute electrical electronics engineer ieee
10.1109/ICSOS.2015.7425073,telecom scintillation first data analysis domino laser communication sota onboard socrates satellite meo ogs ieee international conference space optical system application icsos institute electrical electronics engineer ieee
10.7554/eLife.13926,activation individual l retrotransposon instance restricted cell type dependent permissive locus elife elife science publication ltd
10.1142/S0219199715500650,fundamental group normal variety communication contemporary mathematics world scientific pub co pte ltd
10.1364/OL.41.002025,situ observation yb emission radiodarkening process yb doped optical preform optic letter optical society
10.1109/MOC.2015.7416380,fabrication photonic wire linbo interest nonlinear optic th microoptics conference moc institute electrical electronics engineer ieee
10.1249/MSS.0000000000000981,effect footwear fatigue running economy biomechanics trail runner medicine amp science sport amp exercise ovid technology wolters kluwer health
10.1109/VARI.2015.7456557,study reduction variability nm fdsoi technology international workshop cmos variability vari institute electrical electronics engineer ieee
10.1109/ICSOS.2015.7425085,first free space optical communication europe sota meo optical ground station ieee international conference space optical system application icsos institute electrical electronics engineer ieee
10.1109/ICSOS.2015.7425089,adaptive optic result sota ieee international conference space optical system application icsos institute electrical electronics engineer ieee
10.1128/MCB.01096-15,rna activation vascular endothelial growth factor gene vegf promoter double stranded rna hypoxia role noncoding vegf promoter transcript molecular cellular biology american society microbiology
10.1074/jbc.M116.720698,positive feed forward loop associating egr pdgfa promotes proliferation self renewal glioblastoma stem cell biological chemistry american society biochemistry molecular biology asbmb
10.1016/j.npg.2016.03.010,soignants ehpad demence corp lewy souffrance plus rien pouvoir faire npg neurologie psychiatrie geriatrie elsevier bv
10.7567/JJAP.55.05FG10,auger effect yellow light emitter based ingan algan gan quantum well japanese applied physic japan society applied physic
10.1109/TIT.2016.2544344,reduction fixed point boolean network linear network coding solvability ieee transaction information theory institute electrical electronics engineer ieee
10.1109/IWAT.2016.7434799,d printing technology enabling innovative cost effective industrial antenna solution international workshop antenna technology iwat institute electrical electronics engineer ieee
10.1002/2015JB012417,postseismic relocking subduction megathrust following pisco peru earthquake geophysical research solid earth wiley
10.1128/JCM.03174-15,detection pneumocystis jirovecii quantitative pcr differentiate colonization pneumonia immunocompromised hiv positive hiv negative patient clinical microbiology american society microbiology
10.1103/PhysRevApplied.5.054004,polarity control group iii nitride beyond pragmatism physical applied american physical society aps
10.1364/OE.24.009602,near infrared iii nitride silicon nanophotonic platform microdisk resonator optic express optical society
10.1109/ICASSP.2016.7471914,unsupervised neighbor dependent nonlinear unmixing ieee international conference acoustic speech signal processing icassp institute electrical electronics engineer ieee
10.1103/PhysRevD.93.093020,limit nonlinear electrodynamics physical american physical society aps
10.1074/jbc.M115.708297,presenilin presenilin target g secretase complex distinct cellular compartment biological chemistry american society biochemistry molecular biology asbmb
10.4028/www.scientific.net/MSF.858.143,structural study innovative c sic si c sic si heterostructure electro mechanical application material science forum trans tech publication ltd
10.1042/BJ20151086,systematic evaluation sorting motif sodium iodide symporter ni biochemical portland press ltd
10.1002/2015TC003941,new view geodynamics ecuador implication seismogenic source definition seismic hazard assessment tectonics wiley
10.1103/PhysRevA.93.062701,matching universal behavior potential model physical american physical society aps
10.3917/cm.093.0277,presentation ouvrages cliniques mediterraneennes cairn
10.1109/CircuitsAndSystems.2015.7394054,new rlc structure measurement method using transverse electromagnetic cell ieee international circuit system symposium icsys institute electrical electronics engineer ieee
10.1109/JSTSP.2015.2509907,tensor cp decomposition structured factor matrix algorithm performance ieee selected topic signal processing institute electrical electronics engineer ieee
10.1249/MSS.0000000000000959,running energy cost spring mass behavior young versus older trained athlete medicine science sport exercise ovid technology wolters kluwer health
10.1016/j.accpm.2016.03.004,acute kidney injury perioperative period intensive care unit excluding renal replacement therapy anaesthesia critical care pain medicine elsevier bv
10.1103/PhysRevE.93.050201,light matter interaction induces shadow vortex physical e american physical society aps
10.1002/2015GL067259,ultra long range hydroacoustic observation submarine volcanic activity monowai kermadec arc geophysical research letter wiley
10.1109/LPT.2016.2563258,impact bending electroluminescence flexible ingan gan light emitting diode ieee photonics technology letter institute electrical electronics engineer ieee
10.3847/0004-637X/823/1/65,first combined search neutrino point source southern hemisphere antares icecube neutrino telescope astrophysical american astronomical society
10.1109/ICASSP.2016.7472514,using hydrodynamical simulation stellar atmosphere periodogram standardization application exoplanet detection ieee international conference acoustic speech signal processing icassp institute electrical electronics engineer ieee
10.1109/ICASSP.2016.7472614,group diffusion lm ieee international conference acoustic speech signal processing icassp institute electrical electronics engineer ieee
10.1002/2015JB012671,location largest earthquake slip fast rupture controlled along strike change fault structural maturity due fault growth geophysical research solid earth wiley
10.1103/PhysRevLett.116.221101,test general relativity gw physical letter american physical society aps
10.4018/IJT.2016070107,new printing revolution d printing agent socio political change international technoethics igi global
10.4028/www.scientific.net/MSF.858.723,novel c sic microstructure mem application material science forum trans tech publication ltd
10.4028/www.scientific.net/MSF.858.137,p type doping h c sic epitaxial layer aluminum material science forum trans tech publication ltd
10.1103/PhysRevA.93.053416,bimodal momentum distribution laser cooled atom optical lattice physical american physical society aps
10.1249/MSS.0000000000001021,tibiofemoral contact force anterior cruciate ligament reconstructed knee medicine amp science sport amp exercise ovid technology wolters kluwer health
10.1364/OL.41.002771,steady photodarkening thulium alumino silicate fiber pumped mm quantitative effect lanthanum cerium thulium optic letter optical society
10.1103/PhysRevD.93.122007,gaussian regression power spectral density estimation missing data microscope space mission case study physical american physical society aps
10.1016/j.npg.2016.03.002,optimisme pessimisme comparatifs quelles implication l observance therapeutique chez personnes agee npg neurologie psychiatrie geriatrie elsevier bv
10.1103/PhysRevA.93.063824,phase soliton domain dynamic optically injected semiconductor laser physical american physical society aps
10.1103/PhysRevD.93.122003,gw first result search binary black hole coalescence advanced ligo physical american physical society aps
10.1109/LCOMM.2016.2554544,improving energy efficiency mobile wsn using reconfigurable directional antenna ieee communication letter institute electrical electronics engineer ieee
10.1103/PhysRevLett.116.241102,property binary black hole merger gw physical letter american physical society aps
10.1007/s11690-016-0525-x,acide arachidonique prostaglandines impact formation adipocytes blanc bruns brites beige obesite springer science business medium llc
10.1007/s10688-016-0141-4,multiple zero partial theta function functional analysis application springer science business medium llc
10.1103/PhysRevE.93.062604,microfluidic separation magnetic nanoparticles ordered array magnetized micropillars physical e american physical society aps
10.1103/PhysRevLett.116.241103,gw observation gravitational wave solar mass binary black hole coalescence physical letter american physical society aps
10.5978/islsm.16-OR-08,four different diode laser comparison soft tissue surgery preliminary lt gt ex vivo lt gt study laser therapy international phototherapy association
10.1103/PhysRevD.93.122010,high energy neutrino follow search gravitational wave event gw antares icecube physical american physical society aps
10.3847/2041-8205/824/2/L29,gaia eso survey metal rich banana bulge astrophysical american astronomical society
10.1103/PhysRevD.93.122004,observing gravitational wave transient gw minimal assumption physical american physical society aps
10.1103/PhysRevD.93.122008,search transient gravitational wave coincidence short duration radio transient physical american physical society aps
10.3847/0004-637X/824/1/55,k b wasp b aligned inflated hot jupiter young visual binary astrophysical american astronomical society
10.1128/JCM.03371-15,multiplexed anti toxoplasma igg igm iga assay plasmonic gold chip towards making mass screening possible dye test precision clinical microbiology american society microbiology
10.3917/cnx.105.0123,possible invention un espace intimite chez sujet psychotique l exemple musique connexion cairn
10.1088/1751-8113/49/31/31LT01,multi symplectic structure fully nonlinear weakly dispersive internal gravity wave physic mathematical theoretical iop publishing
10.1103/PhysRevE.93.061103,evolution superfluid vortex filament tangle driven gross pitaevskii equation physical e american physical society aps
10.1214/15-EJS1055,bounding expectation supremum empirical process weak vc major class electronic statistic institute mathematical statistic
10.1002/2016JB012911,bayesian source model great sumatra andaman earthquake geophysical research solid earth wiley
10.3847/0004-637X/825/2/127,high contrast imaging intermediate mass giant long term radial velocity trend astrophysical american astronomical society
10.1109/EuCAP.2016.7481338,impact gain polarization design reconfigurable chip chip antenna th european conference antenna propagation eucap institute electrical electronics engineer ieee
10.1094/PDIS-11-15-1331-RE,identification meloidogyne specie central valley chile interaction stone fruit rootstock plant disease scientific society
10.1172/JCI85265,autoantibody thrombospondin type domain containing a induce membranous nephropathy clinical investigation american society clinical investigation
10.1088/2040-8978/18/7/07LT01,nonlocal soliton scattering random potential optic iop publishing
10.1103/PhysRevB.94.024106,superconductivity ferromagnetic semiconductor samarium nitride physical b american physical society aps
10.1158/0008-5472.CAN-15-3110,systematic analysis rich element expression cancer reveals common functional cluster regulated key rna binding protein cancer research american association cancer research aacr
10.1109/EuCAP.2016.7481158,microstrip antenna array integrated ghz band cmos injection locked power amplifier th european conference antenna propagation eucap institute electrical electronics engineer ieee
10.4153/CMB-2016-003-1,poincare deligne polynomial milnor fiber triple point line arrangement combinatorially determined canadian mathematical bulletin canadian mathematical society
10.1109/SAS.2016.7479632,wake receiver ad hoc antenna co design wearable application ieee sensor application symposium sa institute electrical electronics engineer ieee
10.1364/OL.41.003010,extreme event crisis observed solid state laser modulation loss optic letter optical society
10.1007/978-3-319-41920-6_60,multiple consensus clustering iterative merging splitting clustering pattern lecture note computer science springer science business medium llc
10.1016/j.exppara.2016.06.013,plasmodium falciparum s proline aminopeptidase associated change erythrocyte deformability experimental parasitology elsevier bv
10.1249/MSS.0000000000001039,sprint acceleration mechanic master athlete medicine science sport exercise ovid technology wolters kluwer health
10.1109/ISBI.2016.7493229,phase estimation differential interference contrast dic microscopy ieee th international symposium biomedical imaging isbi institute electrical electronics engineer ieee
10.1109/ICRA.2016.7487291,velocity aided attitude estimation aerial robotic vehicle using latent rotation scaling ieee international conference robotics automation icra institute electrical electronics engineer ieee
10.3847/0004-6256/152/1/27,new eclipsing cv master otj possible sw sextantis star astronomical american astronomical society
10.1113/JP272283,group iii iv muscle afferent limit intramuscular metabolic perturbation whole body exercise human physiology wiley
10.3847/0004-637X/824/2/101,muscle treasury survey ii intrinsic ly extreme ultraviolet spectrum k dwarf exoplanets astrophysical american astronomical society
10.1002/2015JB012633,fault structure stress pressure control seismicity shale insight controlled experiment fluid induced fault reactivation geophysical research solid earth wiley
10.1109/ISBI.2016.7493355,framework multi angle tirf microscope calibration ieee th international symposium biomedical imaging isbi institute electrical electronics engineer ieee
10.1128/CVI.00205-16,circulating gut homing b plasmablast response shigella surface protein antigen among hospitalized patient diarrhea clinical vaccine immunology american society microbiology
10.1094/MPMI-01-16-0015-R,poplar root knot nematode interaction model perennial woody specie molecular plant microbe interaction r scientific society
10.1109/EuCAP.2016.7481536,investigation hand effect handheld terminal ghz th european conference antenna propagation eucap institute electrical electronics engineer ieee
10.1364/OE.24.014483,continuously tunable femtosecond delay line based liquid crystal cell optic express optical society
10.1109/SIES.2016.7509429,natural interpretation uml marte diagram system requirement specification th ieee symposium industrial embedded system sies institute electrical electronics engineer ieee
10.1158/0008-5472.CAN-15-3376,genetic disruption multifunctional cd lat complex demonstrates key role essential amino acid transport control mtorc tumor growth cancer research american association cancer research aacr
10.1109/ICCW.2016.7503870,accurately calibrate massive mimo tdd system ieee international conference communication workshop icc institute electrical electronics engineer ieee
10.3233/JAD-160238,evolution antidepressant prescribing alzheimer disease related disorder result french national database alzheimer disease bna alzheimer disease io press
10.1103/PhysRevLett.117.053903,berry phase light bragg reflection chiral liquid crystal medium physical letter american physical society aps
10.1109/TAP.2016.2572227,improvement scanning performance extended hemispherical integrated lens antenna using double lens focusing system ieee transaction antenna propagation institute electrical electronics engineer ieee
10.12871/0021857201614,phenolic compound antioxidant activity medicinal plant ruta chalepensis grown saline condition agrochimica pisa university press
10.1042/BSR20160107,involvement matrix metalloproteinases mmps inflammasome pathway molecular mechanism fibrosis bioscience report portland press ltd
10.1103/PhysRevA.94.023820,controlling electromagnetic field boundary arbitrary geometry physical american physical society aps
10.1016/S0007-4551(16)30138-2,etat art bulletin cancer elsevier bv
10.1109/ACVI.2016.9,modeling behavioral semantics heterogeneous language coordination architecture centric virtual integration acvi institute electrical electronics engineer ieee
10.1103/PhysRevLett.117.064101,microwave realization gaussian symplectic ensemble physical letter american physical society aps
10.7554/eLife.16988,filter entrance golgi selects vesicle according size bulk lipid composition elife elife science publication ltd
10.1093/mnras/stw1160,circumplanetary disc circumplanetary envelope monthly notice royal astronomical society oxford university press oup
10.1051/0004-6361/201628658,magnitude timing giant planet instability reassessment perspective asteroid belt astronomy astrophysics edp science
10.3847/2041-8205/826/1/L13,localization broadband follow gravitational wave transient gw astrophysical american astronomical society
10.1109/TGRS.2016.2585201,nonconvex regularization remote sensing ieee transaction geoscience remote sensing institute electrical electronics engineer ieee
10.1103/PhysRevE.94.023109,bubble dynamic inside outgassing hydrogel confined hele shaw cell physical e american physical society aps
10.3233/JAD-160268,physical cognitive stimulation using exergame subject normal aging mild moderate cognitive impairment alzheimer disease io press
10.1103/PhysRevLett.117.073002,superradiance large dilute cloud cold atom linear optic regime physical letter american physical society aps
10.1142/S0217751X16501207,casimir operator dependence nonperturbative fermionic qcd amplitude international modern physic world scientific pub co pte ltd
10.1134/S1560354716040031,holomorphic normal form nonlinear perturbation nilpotent vector field regular chaotic dynamic pleiades publishing ltd
10.1016/j.cbpb.2016.08.001,purification property glycerol phosphate dehydrogenase liver hibernating ground squirrel urocitellus richardsonii comparative biochemistry physiology part b biochemistry molecular biology elsevier bv
10.1109/RFIC.2016.7508309,ghz tx rx phased array fmcw radar integrated lo flip chip antenna package ieee radio frequency integrated circuit symposium rfic institute electrical electronics engineer ieee
10.1109/TKDE.2016.2562627,k nearest neighbour join big data mapreduce theoretical experimental analysis ieee transaction knowledge data engineering institute electrical electronics engineer ieee
10.3233/AAC-170015,emotion personality trait argumentation empirical evaluation argument amp computation io press
10.3233/WEB-170356,overlapping community detection temporal analysis q site web intelligence io press
10.1109/JSAC.2017.2659579,competitive selection ephemeral relay wireless network ieee selected area communication institute electrical electronics engineer ieee
10.1172/JCI89401,estrogen enhance myoblast differentiation facioscapulohumeral muscular dystrophy antagonizing dux activity clinical investigation american society clinical investigation
10.3233/HSM-171641,eco label effect french manufacturing firm performance human system management io press
10.1109/JSTSP.2017.2671789,multitask diffusion adaptation network common latent representation ieee selected topic signal processing institute electrical electronics engineer ieee
10.1097/MD.0000000000006889,false positive fdg pet ct result due exogenous lipoid pneumonia secondary oily drug inhalation medicine ovid technology wolters kluwer health
10.1161/CIRCULATIONAHA.116.027152,pregnancy impact adult cyanotic congenital heart disease circulation ovid technology wolters kluwer health
10.1056/NEJMoa1607017,risankizumab versus ustekinumab moderate severe plaque psoriasis new england medicine massachusetts medical society
10.1097/DAD.0000000000000696,congenital infantile fibrosarcoma associated lipofibromatosis like component one train may hiding another american dermatopathology ovid technology wolters kluwer health
